Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
10,X254,I.S. 254 - BRONX,SCA CIP,FACADE/ROOFS,Construction,In-Progress,7/7/2016,3/28/2018,,4050000,4229193,3791127,"DSF: 0000821031, 0000822210"
10,X254,I.S. 254 - BRONX,SCA CIP,FACADE/ROOFS,"CM, F&E",In-Progress,7/7/2016,3/28/2018,,252000,489326,485620,"DSF: 0000821031, 0000822210"
10,X254,I.S. 254 - BRONX,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,Complete,7/27/2017,11/27/2017,8/3/2017,0,1792,1792,DSF: 0000823560
10,X254,I.S. 254 - BRONX,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Design,In-Progress,8/4/2017,2/5/2018,,19110,17318,7169,DSF: 0000823560
10,X254,I.S. 254 - BRONX,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Construction,PNS,PNS,PNS,PNS,280280,280280,951,DSF: 0000823560
10,X254,I.S. 254 - BRONX,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,"CM, F&E",PNS,PNS,PNS,PNS,69238,52551,2423,DSF: 0000823560
10,X254,I.S. 254 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/15/2017,1/15/2018,9/14/2017,50000,49625,49625,DSF: 0000844624
10,X254,I.S. 254 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/15/2017,1/15/2018,9/14/2017,76250,75677,75677,DSF: 0000845571
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Scope,Complete,8/2/2016,12/19/2016,2/13/2017,36881,57074,56288,"DSF: 0000820035, 0000866151"
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Design,Complete,5/15/2017,10/16/2017,12/18/2017,141246,183396,180358,"DSF: 0000820035, 0000866151"
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Construction,PNS,PNS,PNS,PNS,2085039,2085039,1718,"DSF: 0000820035, 0000866151"
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,"CM, F&E",PNS,PNS,PNS,PNS,253705,253705,7119,"DSF: 0000820035, 0000866151"
10,X279,P.S. 279 - BRONX,DOE- RESOA,FY15 RESO A ROOM CONVERSIONS / PART,Construction,PNS,PNS,PNS,PNS,435000,435000,0,DSF: 0000800475
10,X283,I.S. 228 - BRONX,SCA Furniture & Equi,FY17 RESO A MOBILE SCIENCE LAB,F&E,Complete,3/13/2017,F&E,11/13/2017,62000,62000,61974,DSF: 0000845399
10,X306,I.S. 331 - BRONX,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,Scope,PNS,PNS,PNS,PNS,50000,50000,0,DSF: 0000866453
10,X306,I.S. 331 - BRONX,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,Design,PNS,PNS,PNS,PNS,150000,150000,0,DSF: 0000866453
10,X306,I.S. 331 - BRONX,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,Construction,PNS,PNS,PNS,PNS,500000,500000,0,DSF: 0000866453
10,X306,I.S. 331 - BRONX,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,F&E,PNS,PNS,PNS,PNS,135000,135000,0,DSF: 0000866453
10,X340,P.S. 340 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/1/2017,1/15/2018,7/27/2017,50000,49621,49621,DSF: 0000845054
10,X347,P.S. 33 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Scope,In-Progress,8/7/2017,2/26/2018,,1294751,1294751,161755,DSF: 0000798177
10,X347,P.S. 33 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Design,PNS,PNS,PNS,PNS,4143204,4143204,47882,DSF: 0000798177
10,X347,P.S. 33 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Construction,PNS,PNS,PNS,PNS,58108434,58108434,9977,DSF: 0000798177
10,X347,P.S. 33 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,"CM,Art,F&E",PNS,PNS,PNS,PNS,8182828,8182828,30676,DSF: 0000798177
10,X360,P.S. 360 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866428
10,X360,P.S. 360 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Design,PNS,PNS,PNS,PNS,7500,7500,0,DSF: 0000866428
10,X360,P.S. 360 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Construction,PNS,PNS,PNS,PNS,110000,110000,0,DSF: 0000866428
10,X360,P.S. 360 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,"CM, F&E",PNS,PNS,PNS,PNS,7500,7500,0,DSF: 0000866428
10,X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,Scope,Complete,5/13/2014,9/26/2014,9/10/2014,8017,23855,23855,DSF: 0000799913
10,X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,Design,Complete,10/15/2014,3/20/2015,4/28/2015,29395,80349,64886,DSF: 0000799913
10,X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,Construction,In-Progress,6/2/2017,2/26/2018,,311317,272329,104,DSF: 0000799913
10,X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,"CM, F&E",In-Progress,6/2/2017,2/26/2018,,72151,36406,20060,DSF: 0000799913
10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000867305
10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Design,PNS,PNS,PNS,PNS,26880,26880,0,DSF: 0000867305
10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,394240,394240,0,DSF: 0000867305
10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,26880,26880,0,DSF: 0000867305
10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,PNB,0,0,DSF: 0000867312
10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Design,PNS,PNS,PNS,PNS,PNB,0,0,DSF: 0000867312
10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,PNB,0,0,DSF: 0000867312
10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,PNB,0,0,DSF: 0000867312
10,X368,IN-TECH ACADEMY (M.S. / HIGH S,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,11/17/2017,1/31/2018,,50000,49620,49620,DSF: 0000845056
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,Scope,Complete,4/30/2013,9/13/2013,6/21/2013,43040,41498,41498,DSF: 0000775984
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,Design,Complete,7/17/2013,12/18/2013,2/3/2014,150640,204664,204664,DSF: 0000775984
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,Construction,In-Progress,4/10/2014,10/1/2015,,2442520,2294926,1527373,DSF: 0000775984
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,"CM, F&E",In-Progress,4/10/2014,10/1/2015,,172160,473323,473323,DSF: 0000775984
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Scope,Complete,6/29/2016,10/28/2016,1/17/2017,6840,22583,22583,DSF: 0000843858
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Design,Complete,1/17/2017,7/17/2017,4/20/2017,25080,59165,59165,DSF: 0000843858
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Construction,In-Progress,6/26/2017,4/1/2018,,265620,238433,6283,DSF: 0000843858
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,"CM, F&E",In-Progress,6/26/2017,4/1/2018,,243952,213552,12476,DSF: 0000843858
10,X430,M.S./H.S. 342 - BRONX,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866411
10,X430,M.S./H.S. 342 - BRONX,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Design,PNS,PNS,PNS,PNS,51000,51000,0,DSF: 0000866411
10,X430,M.S./H.S. 342 - BRONX,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Construction,PNS,PNS,PNS,PNS,748000,748000,0,DSF: 0000866411
10,X430,M.S./H.S. 342 - BRONX,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,"CM, F&E",PNS,PNS,PNS,PNS,51000,51000,0,DSF: 0000866411
10,X430,KINGSBRIDGE INTERNATIONAL HS -,DOE- RESOA,FY14 RESO A ROOM CONVERSIONS / PART,Construction,PNS,PNS,PNS,PNS,65000,65000,0,DSF: 0000798838
10,X430,M.S./H.S. 342 - BRONX,DOE - Skilled Trades,ADA SHELTER COMPLIANCE,Construction,In-Progress,6/12/2017,DOES,,DOES,161827,161827,DSF: 0000865882
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Scope,Complete,5/20/2013,5/20/2013,5/20/2013,758294,219702,219702,"DSF: 0000774339, 0000774340, 0000774341, 0000775991"
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Design,Complete,5/20/2013,10/21/2013,11/6/2013,3033180,861780,848735,"DSF: 0000774339, 0000774340, 0000774341, 0000775991"
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Construction,In-Progress,9/8/2014,9/6/2018,,56872126,53590274,50017110,"DSF: 0000774339, 0000774340, 0000774341, 0000775991"
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,"CM, F&E",In-Progress,9/8/2014,9/6/2018,,3538709,1715406,1702617,"DSF: 0000774339, 0000774340, 0000774341, 0000775991"
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,Scope,Complete,9/16/2016,1/20/2017,1/25/2017,9144,17497,17497,DSF: 0000843859
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,Design,Complete,1/25/2017,7/25/2017,4/20/2017,33528,44436,44436,DSF: 0000843859
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,Construction,In-Progress,6/15/2017,3/11/2018,,355094,316535,7533,DSF: 0000843859
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,"CM, F&E",In-Progress,6/15/2017,3/11/2018,,266901,228362,17433,DSF: 0000843859
2,M834,HS FOR ENVIRONMENTAL STUDIES,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,66000,66000,0,DSF: 0000866424
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Scope,Complete,1/14/2016,5/16/2016,4/20/2016,0,26643,26643,DSF: 0000822352
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Design,Complete,6/1/2016,10/17/2016,10/14/2016,156000,106569,106569,DSF: 0000822352
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Construction,In-Progress,11/7/2017,8/3/2018,,2288000,1984152,26852,DSF: 0000822352
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,"CM, F&E",In-Progress,11/7/2017,8/3/2018,,156000,39526,39526,DSF: 0000822352
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA IEH,IEH PO18-STAGE ELECTRICAL PANEL,Construction,Complete,10/19/2016,IEH,7/1/2017,IEH,24240,5192,DSF: 0000043425
10,X435,FORDHAM HS FOR THE ARTS - BX,SCA IEH,"IEH PO18-CUSTODIANS TOILET,GIRLS LOCKER RM VESTIBU",Construction,Complete,4/6/2017,IEH,8/9/2017,IEH,21800,1894,DSF: 0000046168
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Scope,Complete,10/3/2012,2/22/2013,9/10/2013,407835,317409,295273,"DSF: 0000754569, 0000797100, 0000798647, 0000821913"
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Design,Complete,12/18/2013,5/21/2014,3/10/2015,1631340,1136024,978157,"DSF: 0000754569, 0000797100, 0000798647, 0000821913"
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Construction,In-Progress,7/7/2016,1/2/2019,,30587626,28356246,16038131,"DSF: 0000754569, 0000797100, 0000798647, 0000821913"
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,"CM, F&E",In-Progress,7/7/2016,1/2/2019,,1903230,592325,578567,"DSF: 0000754569, 0000797100, 0000798647, 0000821913"
10,X440,DEWITT CLINTON HS - X,SCA CIP,GYM UPGRADE,Scope,Complete,11/22/2013,3/21/2014,3/3/2014,60456,61373,61373,DSF: 0000774374
10,X440,DEWITT CLINTON HS - X,SCA CIP,GYM UPGRADE,Design,Complete,3/28/2014,9/26/2014,9/23/2014,241822,269123,259555,DSF: 0000774374
10,X440,DEWITT CLINTON HS - X,SCA CIP,GYM UPGRADE,Construction,PNS,PNS,PNS,PNS,4534167,4534167,37125,DSF: 0000774374
10,X440,DEWITT CLINTON HS - X,SCA CIP,GYM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,282126,282126,41815,DSF: 0000774374
10,X440,DEWITT CLINTON HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,Complete,10/24/2017,2/23/2018,11/30/2017,12874,1572,1572,DSF: 0000867078
10,X440,DEWITT CLINTON HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Design,In-Progress,11/30/2017,5/29/2018,,47204,47204,6287,DSF: 0000867078
10,X440,DEWITT CLINTON HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Construction,PNS,PNS,PNS,PNS,499934,499934,0,DSF: 0000867078
10,X440,DEWITT CLINTON HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,"CM, F&E",PNS,PNS,PNS,PNS,170459,170459,457,DSF: 0000867078
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,FY15 RESO A CAFETERIA UPGRADE,Scope,Complete,1/26/2015,5/27/2015,4/2/2015,0,34470,34470,DSF: 0000800078
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,FY15 RESO A CAFETERIA UPGRADE,Design,PNS,PNS,PNS,PNS,13666,191926,0,DSF: 0000800078
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,FY15 RESO A CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,200432,3320479,0,DSF: 0000800078
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,FY15 RESO A CAFETERIA UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,13666,226396,0,DSF: 0000800078
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,AUDITORIUM UPGRADE,Scope,In-Progress,1/26/2015,5/27/2015,,0,5978,0,DSF: 0000800415
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,12000,6022,0,DSF: 0000800415
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,176000,176000,0,DSF: 0000800415
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,AUDITORIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,12000,12000,0,DSF: 0000800415
10,X440,DEWITT CLINTON HS - X,SCA IEH,IEH PO18-BATHROOM #191,Construction,In-Progress,11/27/2017,IEH,,IEH,46420,7392,DSF: 0000049508
10,X440,DEWITT CLINTON HS - X,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,In-Progress,6/1/2017,DOEL,,DOEL,800,0,DSF:
10,X440,DEWITT CLINTON HS - X,DOE- RESOA,FY17 RESO A HYDROPONIC CLASSROOM,Construction,In-Progress,7/14/2017,DOER,,84515,84515,84515,DSF: 0000845041
10,X440,DEWITT CLINTON HS - X,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,9/7/2017,DOES,,DOES,170000,606,DSF: 0000866080
10,X440,DEWITT CLINTON HS - X,DOE - Skilled Trades,ELEVATOR MODERNIZATION,Construction,In-Progress,11/30/2017,DOES,,DOES,962300,0,DSF: 0000867029
10,X444,PRE-K CENTER @ 2510 MARION AVE,PRE-K,LEASE,Scope,Complete,5/6/2015,5/13/2015,5/13/2015,229175,168448,168448,DSF: 0000822032
10,X444,PRE-K CENTER @ 2510 MARION AVE,PRE-K,LEASE,Design,Complete,5/14/2015,9/22/2015,12/30/2015,733360,783855,623316,DSF: 0000822032
10,X444,PRE-K CENTER @ 2510 MARION AVE,PRE-K,LEASE,Construction,Complete,3/18/2016,9/8/2017,9/5/2017,10285374,10060052,9878486,DSF: 0000822032
10,X444,PRE-K CENTER @ 2510 MARION AVE,PRE-K,LEASE,"CM, F&E",Complete,3/18/2016,9/8/2017,9/5/2017,1811017,1406947,1339927,DSF: 0000822032
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,Scope,Complete,1/30/2015,6/16/2015,5/1/2015,134776,41223,41221,"DSF: 0000820291, 0000822171"
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,Design,Complete,6/25/2015,11/27/2015,9/29/2015,539100,120430,116692,"DSF: 0000820291, 0000822171"
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,Construction,In-Progress,7/12/2016,7/11/2018,,10108126,9180781,6970617,"DSF: 0000820291, 0000822171"
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,"CM, F&E",In-Progress,7/12/2016,7/11/2018,,636575,518837,449797,"DSF: 0000820291, 0000822171"
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,GYM CEILING,Scope,Complete,4/7/2017,8/8/2017,6/13/2017,20818,24058,24058,DSF: 0000864171
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,GYM CEILING,Design,Complete,7/19/2017,12/5/2017,12/7/2017,83273,102866,96356,DSF: 0000864171
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,GYM CEILING,Construction,PNS,PNS,PNS,PNS,1561366,1561366,23938,DSF: 0000864171
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,GYM CEILING,"CM, F&E",PNS,PNS,PNS,PNS,97152,97152,18765,DSF: 0000864171
10,X445,BRONX HS OF SCIENCE - X,SCA IEH,"IEH PO18-ROOMS 029,029B,109,124",Construction,Complete,2/27/2017,IEH,7/15/2017,IEH,66649,6304,DSF: 0000045438
10,X445,BRONX HS OF SCIENCE - X,SCA IEH,IEH PO18-AUDITORIUM,Construction,Complete,7/20/2017,IEH,8/4/2017,IEH,41408,6724,DSF: 0000047766
10,X445,BRONX HS OF SCIENCE - X,DOE- RESOA,FY14 RESO A ROOM CONVERSIONS / PART,Construction,PNS,PNS,PNS,PNS,50000,50000,0,DSF: 0000798839
10,X448,P.S. 340 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Scope,In-Progress,8/28/2017,2/15/2018,,1156096,1156096,9609,DSF: 0000798176
10,X448,P.S. 340 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Design,PNS,PNS,PNS,PNS,3699508,3699508,38434,DSF: 0000798176
10,X448,P.S. 340 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Construction,PNS,PNS,PNS,PNS,51885601,51885601,6917,DSF: 0000798176
10,X448,P.S. 340 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,"CM,Art,F&E",PNS,PNS,PNS,PNS,7306528,7306528,21037,DSF: 0000798176
10,X448,P.S. 340 ANNEX - BRONX,SCA CIP,EARLY PKG.- DETENTION TANK,Scope,Complete,12/11/2017,12/11/2017,12/11/2017,30000,0,0,DSF: 0000798176
